Прайс-лист на 7 февраля 2025 г.;;;;;;;;;;;;;;
"В/С ""Уралец"" ГОСТ 8% сливочное шоколадное 70г/24шт ИП Тарасова";;;;;;;;;;;;45,32;;
"В/С ""Уралец"" пломбир ГОСТ 12% 70г/24шт Тарасова";;;;;;;;;;;;44,99;;
"Весовое ""Бабалу"" ванильное (змж) 12% 400г/5шт ИП Тарасова ";;;;;;;;;;;;175,19;;
"Весовое ""Бабалу"" ванильное (змж) 12% 800г/5шт ИП Тарасова ";;;;;;;;;;;;344,58;;
"Весовое ""Бабалу"" конфитюр клубника (змж) 12% 400г/5шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-2)";;;;;;;;;;;;158,27;;
"Весовое ""Бабалу"" конфитюр малина (змж) 12% 400г/5шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-2)";;;;;;;;;;;;158,27;;
"Весовое ""Бабалу"" солёная карамель (змж) 12% 400г/5шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-2)";;;;;;;;;;;;158,27;;
"Весовое ""Уралец"" пломбир 12% ГОСТ 800г/5шт Тарасова";;;;;;;;;;;;451,48;;
"Пл/ст ""Бабалу"" ван. с вареной сгущенкой (змж) 10% 80г/24шт ИП Тарасова";;;;;;;;;;;;44,37;;
"Эскимо ""Бабалу"" ванильное в шоколадной глазури (змж) 8% 60г/40шт ИП Тарасова";;;;;;;;;;;;34,60;;
"Эскимо ""Ириска тоффи"" сливочное 8% в шок. глазури 65г/20шт МирХолода";;;;;;;;;;;;52,50;;
"Эскимо ""Уралец"" ГОСТ пломбир 12% 70г/20шт Тарасова ";;;;;;;;;;;;46,98;;
"Эскимо ""Эскиму"" печенье и карамель пломбир в молочном шоколаде 12% 74г/20шт МирХолода";;;;;;;;;;;;73,00;;
"Эскимо ""Эскиму"" солёный арахис и карамель сливочное в мол. шоколаде 8% 65г/20шт МирХолода";;;;;;;;;;;;73,00;;
Эскимо печенье и карамель пломбир в молочном шоколаде 12% 74г/20шт МирХолода;;;;;;;;;;;;73,00;;
Эскимо солёный арахис и карамель сливочное 8% в мол. шоколаде 65г/20шт МирХолода;;;;;;;;;;;;73,00;;
Гастроемкости;;;;;;;;;;;;;;
"**Контейнер ""Ванильное"" (змж) 12%"" 2,5кг/2шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-шт)";;;;;;;;;;;;768,08;;
"**Контейнер ""Клубника"" (змж) 12%"" 2,5кг/2шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-шт)";;;;;;;;;;;;768,08;;
"**Контейнер ""Пломбир 12%"" 2,5кг/2шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-шт)";;;;;;;;;;;;1 051,93;;
"**Контейнер ""Шоколад"" (змж) 12% 2,5кг/2шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-шт)";;;;;;;;;;;;803,39;;
"*Контейнер ""Леденцы и Бабл-Гам"" (змж) 8%"" 2,5кг/2шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-шт)";;;;;;;;;;;;600,00;;
"Весовое ""Бабалу"" ванильное (змж) 12% 2000г/4шт ИП Тарасова";;;;;;;;;;;;457,92;;
Гроспирон;;;;;;;;;;;;;;
Брикет/вафля Пломбир на сливках 90г/32шт Гроспирон;;;;;;;;;;;;69,66;;
"Бум/ст ""Кедровый пломбир"" 70г/24шт Гроспирон";;;;;;;;;;;;64,45;;
Бум/ст Пломбир на сливках 80г/24шт Гроспирон;;;;;;;;;;;;61,29;;
"Ведро ""Кедровый пломбир"" 410г/6шт Гроспирон (ЕК,НТ,ПМ,ТМ-2)";;;;;;;;;;;;364,35;;
"Ведро Пломбир на сливках 430г/6шт Гроспирон (ЕК,НТ,СРГ-2; ПМ,ТМ-шт)";;;;;;;;;;;;318,81;;
Рожок Пломбир на сливках 110г/21шт Гроспирон;;;;;;;;;;;;83,70;;
Колибри;;;;;;;;;;;;;;
"В/С ""ПЛОСКИЙ СТАКАН"" ""Настоящий пломбир"" 90г/30шт Колибри";;;;;;;;;;;;56,06;;
"В/С ""Снежный шарик"" фисташковое (змж) 90г/30шт Колибри";;;;;;;;;;;;41,76;;
Контейнер МИКС ICE PARTY (змж) 450гр/4шт Колибри ;;;;;;;;;;;;235,20;;
Рожок банан-клубника (змж) 90г/20шт Колибри;;;;;;;;;;;;44,18;;
Рожок в шоколадной глазури (змж) 100г/20шт Колибри;;;;;;;;;;;;44,75;;
Эскимо Фисташковое в белой глазури с орехами (змж) 70г20шт Колибри;;;;;;;;;;;;40,62;;
Коровка из Кореновки;;;;;;;;;;;;;;
В/С пломбир 100г/30шт КизК;;;;;;;;;;;;75,07;;
В/С пломбир крем-брюле 100г/30шт КизК;;;;;;;;;;;;75,07;;
В/С пломбир с шок.крошкой 80г/30шт КизК;;;;;;;;;;;;79,34;;
В/С пломбир шоколад 100г/30шт КизК;;;;;;;;;;;;77,19;;
Весовое пломбир 1000г/5шт КизК ;;;;;;;;;;;;623,79;;
Весовое пломбир 400г/8шт (полено) КизК (ЕК,НТ,СРГ,ПМ,ТМ-2);;;;;;;;;;;;270,66;;
Весовое пломбир крем-брюле 400г/8шт (полено) КизК (ЕК,НТ,СРГ,ПМ,ТМ-2);;;;;;;;;;;;270,66;;
Весовое пломбир сердечное манго и маракуйя 400г/8шт (полено) КизК (ЕК,НТ,СРГ,ПМ,ТМ-2);;;;;;;;;;;;277,89;;
Весовое пломбир сердечное шоколад и ваниль 400г/8шт (полено) КизК (ЕК,НТ,СРГ,ПМ,ТМ-2);;;;;;;;;;;;270,66;;
Весовое пломбир сердечное шоколад и вишня 200г/8шт (полено) КизК ;;;;;;;;;;;;160,41;;
Рожок пломбир с клубничным джемом 120г/12шт КизК;;;;;;;;;;;;113,00;;
Рожок пломбир с шоколадной крошкой 120г/12шт КизК;;;;;;;;;;;;113,00;;
"Трубочка ""Кубанская Лакомка"" пломбир в шок.- сливочн. глазури 90г/20шт КизК";;;;;;;;;;;;87,52;;
Эскимо круглое пломбир в шок.-слив. глазури 70г/28шт КизК;;;;;;;;;;;;51,23;;
Эскимо пломбир в мол.- шок. глазури с фундуком 70г/20шт КизК;;;;;;;;;;;;92,79;;
Эскимо пломбир в шок.глазури 70г/20шт КизК;;;;;;;;;;;;81,39;;
Эскимо пломбир шоколадный в шок.глазури с какао-крупкой 70г/20шт КизК;;;;;;;;;;;;81,39;;
РосФрост;;;;;;;;;;;;;;
Брикет/вафля Настоящий Пломбир 20% 80г/32шт РосФрост ;;;;;;;;;;;;63,65;;
"Бум/ст ""Настоящий пломбир"" 15% 80г/24шт РосФрост ";;;;;;;;;;;;57,76;;
"В/С ""Советский стандарт"" пломбир в упак. 14% 100г/22шт РосФрост";;;;;;;;;;;;75,14;;
"Весовое ""100% Настоящий Классический"" в п/э (змж) 1кг/4шт РосФрост";;;;;;;;;;;;424,54;;
"Пл/ст ""Снеговик Ваня"" ван. с вареной сгущенкой (змж) 12% 80г/24шт РосФрост";;;;;;;;;;;;49,73;;
"Пл/ст ""Снегурочка Маня"" кр-бр. с вареной сгущенкой (змж) 12% 80г/24шт РосФрост";;;;;;;;;;;;49,73;;
Пл/ст Берилето сливочное манговое с кусочками манго 10% 175г/6шт РосФрост;;;;;;;;;;;;122,01;;
Пл/ст Берилето сливочное с джемом лесные ягоды 10% 175г/6шт РосФрост;;;;;;;;;;;;114,90;;
"Рожок ""Настоящий пломбир"" 15% 80г/16шт РосФрост";;;;;;;;;;;;59,23;;
Рожок Советский Стандарт пломбир 14% 100г/14шт РосФрост;;;;;;;;;;;;76,38;;
"Торт ""Настоящий пломбир"" зефирное мороженое 15% 400г/3шт РосФрост";;;;;;;;;;;;359,88;;
"Эскимо ""Берилето"" манго щербет 3% 70г/20шт РосФрост";;;;;;;;;;;;45,38;;
"Эскимо ""Ванильное в шоколадной глазури"" (змж) 8,5% 60г/40шт РосФрост";;;;;;;;;;;;35,74;;
"Эскимо ""Шоколадный Трюфель"" (змж) 12% 65г/35шт РосФрост";;;;;;;;;;;;40,56;;
Торты;;;;;;;;;;;;;;
"Торт ""Клубничные облака"" 500гр/2шт Татьянин двор";;;;;;;;;;;;266,00;;
"Торт ""Пикник"" 550гр/2шт Татьянин двор";;;;;;;;;;;;368,00;;
"Торт ""Пломбир"" 800гр/2шт Татьянин двор";;;;;;;;;;;;428,00;;
"Торт ""Старая Прага"" 600гр/2шт Татьянин двор";;;;;;;;;;;;342,00;;
"Торт ""Тирамису"" 800гр/2шт Татьянин двор";;;;;;;;;;;;418,00;;
Торт «Творожно-йогуртовый» 800гр/2шт Татьянин двор;;;;;;;;;;;;418,00;;
Торт «Фисташковый с вишней» 750гр/2шт Татьянин двор;;;;;;;;;;;;472,00;;
Фронери;;;;;;;;;;;;;;
"В/С ""48 копеек"" манго НОВ 160мл 94гр/30шт Фронери";;;;;;;;;;;;112,24;;
"В/С ""48 копеек"" пломбир НОВ 160мл 88гр/30шт Фронери";;;;;;;;;;;;80,52;;
"В/С ""48 копеек"" шоколад НОВ 160мл 88гр/30шт Фронери";;;;;;;;;;;;84,55;;
"Десерт с желе ""Бон Пари"" Джангли Ваниль/Банан 47мл 45г/36шт Фронери";;;;;;;;;;;;51,90;;
"Десерт ягодный с жев. резинкой ""Бон Пари"" Кошмарики 66мл 59гр/32шт Фронери";;;;;;;;;;;;93,73;;
"Рожок ""48 копеек"" ДеЛюкс Клубника-Малина 120мл 78г/24шт Фронери";;;;;;;;;;;;109,90;;
"Рожок ""48 копеек"" пломбир с миндалем НОВ 200мл 106гр/18шт Фронери";;;;;;;;;;;;133,24;;
"Рожок ""48 копеек"" пломбир с черной смородиной НОВ 200мл 111гр/18шт Фронери";;;;;;;;;;;;139,89;;
"Рожок ""Орео"" НОВ 120мл 72гр/24шт Фронери";;;;;;;;;;;;115,45;;
"Рожок ""Санрем"" Клубника 120мл 73г/24шт Фронери";;;;;;;;;;;;107,11;;
"Рожок ""Санрем"" Малина-Банан 120мл 78г/24шт Фронери";;;;;;;;;;;;107,11;;
"Сендвич ""МаксиДуо"" Страчателла 140мл 92г/24шт Фронери";;;;;;;;;;;;125,81;;
"Сендвич ""Орео"" НОВ 130мл 76гр/24шт Фронери";;;;;;;;;;;;95,99;;
"Фруктовый лед ""Бон Пари"" Арбузик 73мл 67гр/27шт Фронери";;;;;;;;;;;;70,21;;
"Фруктовый лед ""Бон Пари"" Ураган карамель 54мл 60гр/44шт Фронери";;;;;;;;;;;;70,21;;
"Фруктовый лед ""Почемучка"" ананас/виноград 54мл 60гр/44шт Фронери";;;;;;;;;;;;44,32;;
"Эскимо ""48 копеек"" ДеЛюкс Миндаль 90мл 59гр/27шт Фронери";;;;;;;;;;;;98,48;;
"Эскимо ""48 копеек"" пломбир с клюквенным морсом НОВ 82мл 61гр/40шт Фронери";;;;;;;;;;;;85,50;;
"Эскимо ""Альпен Гольд"" НОВ 90мл 58гр/27шт Фронери";;;;;;;;;;;;126,88;;
"Эскимо ""МаксиДуо"" Вафельный Микс 63гр 90мл/27шт Фронери ";;;;;;;;;;;;97,54;;
"Эскимо ""Милка"" лесные ягоды 90мл 64гр/27шт Фронери";;;;;;;;;;;;149,33;;
"Эскимо ""Милка"" сливочное с шоколадным соусом 90мл 62гр/27шт Фронери";;;;;;;;;;;;144,08;;
"Эскимо ""Нестле"" Миндаль в глазури НОВ 90мл 59гр/27шт Фронери";;;;;;;;;;;;112,20;;
"Эскимо ""Орео"" НОВ 90мл 56гр/27шт Фронери";;;;;;;;;;;;106,99;;
Фронери (брикеты, контейнеры);;;;;;;;;;;;;;
"Брикет ""48 копеек"" ДеЛюкс клубничный десерт 400мл 243гр/25шт Фронери (ЕК,НТ,ПМ,ТМ-5)";;;;;;;;;;;;169,40;;
"Брикет ""48 копеек"" ДеЛюкс сливочный 400мл 210гр/25шт Фронери (ЕК,НТ,СРГ-5; ТМ,ПМ-2) ";;;;;;;;;;;;169,40;;
"Брикет ""48 копеек"" пломбир 400мл 210гр/25шт Фронери (ЕК,НТ,СРГ,ПМ,ТМ-5)";;;;;;;;;;;;185,91;;
"Брикет ""48 копеек"" шоколадное 400мл 232гр/25шт Фронери (ЕК,НТ,ПМ-5)";;;;;;;;;;;;182,74;;
"Контейнер ""48 копеек"" Пломбир НОВ 800мл 419гр/8шт Фронери (ЕК,НТ,ПМ,ТМ-шт)";;;;;;;;;;;;442,46;;
"Контейнер ""48 копеек"" Черная смородина 800мл 464г/8шт Фронери";;;;;;;;;;;;586,73;;
"Контейнер ""48 копеек"" Шоколадная Прага МЛК 800мл 432гр/8шт Фронери ";;;;;;;;;;;;586,73;;
Чистая Линия;;;;;;;;;;;;;;
"В/С ""Протеиновое"" пломбир без сахарозы 80г/25шт Чистая Линия";;;;;;;;;;;;86,01;;
"В/С ""Радуга"" пломбир четырёхслойный 90г/25шт Чистая Линия";;;;;;;;;;;;69,15;;
Пломбир ванильный 70г/28шт дой-пак Чистая Линия;;;;;;;;;;;;81,30;;
"Эскимо ""Единорожка"" пломбир трехслойный 65г/24шт Чистая Линия";;;;;;;;;;;;59,77;;
"Эскимо ""Зюзя"" пломбир ванильный в шок.глазури 80г/40шт Чистая Линия";;;;;;;;;;;;66,82;;
"Эскимо пломбир ванильный в апельсиновой глазури ""MAROC"" 70г/25шт Чистая Линия";;;;;;;;;;;;54,33;;
Шин-Лайн;;;;;;;;;;;;;;
"В/С пломбир ""Мишка на полюсе"" 100г/36шт Шин-Лайн ";;;;;;;;;;;;63,07;;
"В/С пломбир с топл.молоком ""Мишка на полюсе"" 100г/36шт Шин-Лайн ";;;;;;;;;;;;63,07;;
Фруктовый лёд «Джусики» ананас 70г/40шт Шин-Лайн;;;;;;;;;;;;26,46;;
"Эскимо ""Лесная Белочка"" пломбир в глазури 70г/26шт Шин-Лайн";;;;;;;;;;;;60,38;;
Эскимо «Сладкоежка Косолапый» сливочн. в глазури с орехами 65г/26шт Шин-Лайн;;;;;;;;;;;;60,49;;
Эскимо пломбир «Мишка на полюсе» в горячем шоколаде 70г/24шт Шин-Лайн;;;;;;;;;;;;68,05;;
Эскимо пломбир «Мишка на полюсе» зефир в томленом мягком шоколаде 75г/26шт Шин-Лайн;;;;;;;;;;;;71,82;;
Эскимо пломбир «Мишка на полюсе» с ароматом топленого молока  70г/26шт Шин-Лайн;;;;;;;;;;;;55,19;;
Эскимо пломбир «Мишка на полюсе» с ароматом черники и голубики 75г/26шт Шин-Лайн;;;;;;;;;;;;64,26;;
Пельмени, вареники;;;;;;;;;;;;;;
CТМ пельмени;;;;;;;;;;;;;;
Вареники с каpтoфелем ТМ Хозяин Барин ВЕС 5кг Меленка;;;;;;;;;;;;201,14;;
"Вареники с картофелем 350г/12шт ТМ Хозяин Барин ФУП (ЕК,СРГ-4; НТ,ПМ,ТМ-2)";;;;;;;;;;;;62,55;;
"Манты ""Вах!"" с говядиной ТМ Хозяин Барин ВЕС 5кг ИП Тарасова";;;;;;;;;;;;312,78;;
"Пельмени ""Коррида"" 800г/4шт ТМ Хозяин Барин ИП Тарасова";;;;;;;;;;;;242,27;;
"Пельмени ""Министерские"" ТМ Хозяин Барин ВЕС 5кг ИП Тарасова";;;;;;;;;;;;321,16;;
"Пельмени ""Мусульманские"" 700г/4шт ТМ Хозяин Барин ИП Тарасова";;;;;;;;;;;;248,17;;
"Пельмени ""Ням-нямыч"" (бегемотики) ТМ Хозяин Барин вес 5кг ИП Тарасова";;;;;;;;;;;;300,20;;
"Пельмени ""Премиум"" 700г/4шт ТМ Хозяин Барин ИП Тарасова";;;;;;;;;;;;241,87;;
"Пельмени ""С мясом говядины и свинины"" 800г/4шт ТМ Хозяин Барин ИП Тарасова";;;;;;;;;;;;187,96;;
"Пельмени ""С мясом говядины и свинины"" ТМ Хозяин Барин ВЕС 5кг ИП Тарасова";;;;;;;;;;;;231,67;;
"Пельмени ""Столичные"" 700г/4шт ТМ Хозяин Барин ИП Тарасова";;;;;;;;;;;;237,22;;
"Пельмени ""Три веселых гуся"" 800г/6шт ТМ Хозяин Барин Морозко (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;154,00;;
"Пельмени ""Три молодых бычка"" 800г/4шт ТМ Хозяин Барин ИП Тарасова";;;;;;;;;;;;198,92;;
"Пельмени ГОСТ ""Сибирские"" 800г/6шт ТМ Хозяин Барин Морозко";;;;;;;;;;;;218,94;;
"Пельмени ручная лепка ""Со сливками"" 800г/4шт ТМ Хозяин Барин ИП Тарасова";;;;;;;;;;;;272,67;;
"Пельмени ручная лепка Фирменные ""С мясом говядины и свинины"" 800г/4шт ТМ Хозяин Барин ИП Тарасова";;;;;;;;;;;;272,67;;
"Хинкали ""Вах!"" из говядины 700г/4шт ТМ Хозяин Барин ИП Тарасова";;;;;;;;;;;;270,79;;
Хинкали По-грузински ТМ Хозяин Барин ВЕС 5кг Меленка;;;;;;;;;;;;368,74;;
Ардис;;;;;;;;;;;;;;
Пельмени рыбные из минтая 400г/10шт Ардис (ЕК,НТ,СРГ,ПМ,ТМ-5);;;;;;;;;;;;70,40;;
Горячая штучка (бульмени);;;;;;;;;;;;;;
Бульмени Наваристые с говядиной и свининой ВЕС 2,7кг ТМ Горячая Штучка цена за кор;;;;;;;;;;;;595,54;;
Бульмени с говядиной и свининой. Бульон внутри 400г/16шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-2);;;;;;;;;;;;112,74;;
Бульмени с говядиной и свининой. Бульон внутри 700г/10шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-4);;;;;;;;;;;;190,06;;
Бульмени со сливочным маслом. Бульон внутри 400г/16шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-2);;;;;;;;;;;;113,85;;
Бульмени со сливочным маслом. Бульон внутри 700г/10шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-4);;;;;;;;;;;;191,99;;
Любимая Зима*;;;;;;;;;;;;;;
"Братцы вареники с карт. и гриб. 350г/12шт (ООО ""ФУП"") (ЕК,НТ,СРГ-6; ПМ-3)";;;;;;;;;;;;80,50;;
"Братцы вареники с КАРТ. И ГРИБ. 750г/6шт. (ООО ""ФУП"") (ЕК,НТ,СРГ-3)";;;;;;;;;;;;166,62;;
"Братцы вареники с картофелем 350г/12шт (ООО ""ФУП"") (ЕК,НТ,СРГ,ПМ-2)";;;;;;;;;;;;72,46;;
"Братцы вареники с КАРТОФЕЛЕМ 750г/6шт (ООО ""ФУП"") (ЕК,НТ,СРГ-3)";;;;;;;;;;;;149,28;;
"Братцы вареники с сырым картофелем, луком и салом 350г/12шт (ООО ""ФУП"") (ЕК,НТ,СРГ-6; ПМ-3)";;;;;;;;;;;;81,55;;
"Братцы вареники с СЫРЫМ КАРТОФЕЛЕМ, ЛУКОМ И САЛОМ 750г/6шт (ООО ""ФУП"") (ЕК,НТ,СРГ-3)";;;;;;;;;;;;171,61;;
"Братцы вареники с творогом 350г/12шт (ООО ""ФУП"") (ЕК,НТ,СРГ,ПМ-3)";;;;;;;;;;;;98,67;;
"Братцы вареники со свежей капустой 350г/12шт (ООО ""ФУП"") (ЕК,НТ,СРГ,ПМ-2)";;;;;;;;;;;;81,35;;
"Пельмени ""Бульонные"" 800г/13шт ТМ Любимая Зима ООО ""ФУП"" (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;199,14;;
"Пельмени ГОСТ ""По-Башкирски"" Домашние 800гр/10шт ООО ""ФУП"" (ЕК,НТ,СРГ,ПМ-3)";;;;;;;;;;;;290,51;;
"Пельмени ГОСТ ""Фермерские"" Домашние Из говядины и свинины 700г/6шт (ЕК,НТ,СРГ,ПМ-3)";;;;;;;;;;;;245,09;;
Меленка;;;;;;;;;;;;;;
"Пельмени ""С говядиной и свининой"" 800г/8шт ТМ 4 Сочных порции (ЕК,НТ-4)";;;;;;;;;;;;407,58;;
Пельмени Классические с гов/свин 800г/5шт ТМ Большая кастрюля ;;;;;;;;;;;;394,29;;
Мишкинские;;;;;;;;;;;;;;
"**Пельмени ""Царская охота"" 700г/7шт ""Мишкинский продукт"" ";;;;;;;;;;;;355,54;;
"Пельмени ""Деревенские"" 700г/7шт ""Мишкинский продукт"" (ЕК,НТ,ТМ-3)";;;;;;;;;;;;246,84;;
"Пельмени ""Иркутские"" 450 г/10 шт ""Мишкинский продукт"" (ЕК,НТ-5)";;;;;;;;;;;;192,85;;
"Пельмени ""Иркутские"" 700г/7шт ""Мишкинский продукт"" (ЕК,НТ,СРГ-3)";;;;;;;;;;;;365,90;;
"Пельмени ГОСТ ""Русские"" 450 г/10 шт ""Мишкинский продукт"" (ЕК,НТ-5)";;;;;;;;;;;;190,74;;
"Пельмени ГОСТ ""Русские"" 700г/7шт ""Мишкинский продукт"" (ЕК,НТ,СРГ,ТМ-3)";;;;;;;;;;;;363,26;;
Пельмени, вареники ВЕС;;;;;;;;;;;;;;
Вареники с капустой ВЕС 6кг Сальников;;;;;;;;;;;;220,87;;
Вареники с картофелем ВЕС 6кг Сальников;;;;;;;;;;;;211,85;;
Вареники с картофелем и грибами ВЕС 6кг Сальников;;;;;;;;;;;;229,09;;
"Пельмени ""Бульонные"" ВЕС 5 кг ТМ Любимая Зима ООО ""ФУП""";;;;;;;;;;;;239,67;;
"Пельмени ""Великан"" ВЕС 6кг Сальников";;;;;;;;;;;;284,97;;
"Пельмени ""Вкусные"" ВЕС 5кг ООО ""ФУП""";;;;;;;;;;;;216,78;;
"Пельмени ""Дачные"" (""И ничего лишнего"") ВЕС 6кг Сибирский Гурман";;;;;;;;;;;;168,53;;
"Пельмени ""Колдуны"" ВЕС 6кг Сальников";;;;;;;;;;;;237,71;;
"Пельмени ""Куриные"" ВЕС 6кг Сальников";;;;;;;;;;;;225,04;;
"Пельмени ""Любимая порция"" (пятачки) ВЕС 6кг Сальников";;;;;;;;;;;;265,74;;
"Пельмени ""Любимая порция"" с бульоном (колобки) ВЕС 6кг Сальников";;;;;;;;;;;;254,22;;
"Пельмени ""Пельмень-Малыш"" ВЕС 6кг Сальников";;;;;;;;;;;;289,80;;
"Пельмени ""Татарские рецепты"" ВЕС 6кг Сальников";;;;;;;;;;;;304,17;;
"Пельмени ГОСТ ""Сибирские"" ВЕС 6кг Сальников";;;;;;;;;;;;309,98;;
"Пельмени Домашние ""МЯСшарики"" ВЕС 6кг Сальников";;;;;;;;;;;;268,67;;
Сальников*;;;;;;;;;;;;;;
"**Вареники с картофелем и шкварками ""Могучий Русский"" 900г/6 шт Сальников (СРГ,ТМ-3)";;;;;;;;;;;;202,02;;
"**Вареники с творогом ""Могучий Русский"" 900г/6 шт Сальников";;;;;;;;;;;;234,93;;
"Вареники с капустой ""Могучий Русский"" 900г/6 шт Сальников (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;210,31;;
"Вареники с картофелем ""Могучий Русский"" 900г/6 шт Сальников (ЕК,НТ,СРГ,ТМ-3)";;;;;;;;;;;;195,86;;
"Пельмени ""Колдуны"" мясо/капуста 900г/6 шт Сальников (ТМ-3)";;;;;;;;;;;;201,12;;
"Пельмени ""Куриные"" 450г/12шт Сальников (ЕК,НТ,ПМ-6; СРГ,ТМ-4)";;;;;;;;;;;;101,17;;
"Пельмени ""Любимая порция"" (пятачки) 800г/6 шт Сальников (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;228,20;;
"Пельмени ""Любимая порция"" с бульоном (колобки) 800г/6 шт Сальников (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;219,29;;
"Пельмени ""МЯСшарики"" 900г/6 шт Сальников (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;238,84;;
"Пельмени ""Сибирская Марка"" 800гр/6шт ТМ Сальников (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;264,49;;
"Пельмени ""Сила Мяса"" 800гр/6шт ТМ Сальников (ЕК-3)";;;;;;;;;;;;307,40;;
"Пельмени ""Сила Мяса"" сочные 800гр/6шт ТМ Сальников (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;249,15;;
"Пельмени ""Татарские рецепты"" 900г/6 шт Сальников (ЕК,НТ,СРГ,ТМ-3)";;;;;;;;;;;;278,29;;
"Пельмени Premium ""Классические"" Mini 800гр/6шт Сальников (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;317,61;;
"Пельмени Premium ""Классические"" Standart 800гр/6шт Сальников (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;319,67;;
"Пельмени ГОСТ ""Домашние"" 800гр/6шт Сальников (ЕК,НТ,СРГ,ПМ,ТМ-3)";;;;;;;;;;;;289,56;;
ХАЛЯЛЬ;;;;;;;;;;;;;;
"Пельмени ""По-Татарски"" 0,4кг/20шт Казан (ЕК,СРГ,ТМ-5)";;;;;;;;;;;;92,60;;
"Пельмени ""Премиум"" 1кг/10шт Казан (СРГ-4; ТМ-5)";;;;;;;;;;;;240,35;;
"Пельмени ""Халял"" 1кг/6шт Казан (СРГ-шт; ТМ-3)";;;;;;;;;;;;235,44;;
